epoch,average_reward,final_reward
0,-7.406348344670696,10000
1,-7.284559748917824,10000
2,-7.001516083285497,10000
3,-7.558395300459243,10000
4,-6.647024081834738,10000
5,-5.225751328158367,10000
6,-7.992083851140549,10000
7,-7.723159862371863,-10000
8,-6.058149786259206,10000
9,-5.603899487504656,0
10,-7.2866590464719865,-10000
11,-6.687762815279213,10000
12,-5.714882371397178,0
13,-7.590539021431983,-10000
14,-7.520772357620273,10000
15,-6.93678619625963,-10000
16,-6.7205744539699355,10000
17,-6.470686237773442,10000
18,-6.54106614815547,10000
19,-8.031554380634624,10000
20,-8.187067280438779,-10000
21,-7.651987794732717,10000
22,-6.921939210379177,0
23,-7.693696365453414,10000
24,-7.811491344306148,10000
25,-6.871348751750389,0
26,-7.6953088966107766,10000
27,-6.2139720387541635,10000
28,-6.371271735419232,10000
29,-7.347798806271766,-10000
30,-7.524238127940795,10000
31,-7.260075129845335,10000
32,-4.363708572171253,10000
33,-7.589997092662437,10000
34,-5.083824889607549,10000
35,-7.227757498116062,10000
36,-2.779922394289523,-10000
37,-7.341039858058448,10000
38,-6.88591088699338,10000
39,-7.305612184057609,10000
40,-8.079273287155276,10000
41,-7.036463397186214,10000
42,-7.692043564342718,10000
43,-6.185407808982973,0
44,-7.529460480729746,10000
45,-7.759857762790003,10000
46,-7.370476417947267,-10000
47,-7.206797641594865,10000
48,-6.757573515475376,10000
49,-3.750650920607611,10000
50,-8.060815715496618,0
51,-6.955070014828419,10000
52,-7.572073833765465,10000
53,-4.958913209058064,10000
54,-6.385152694781138,0
55,-7.019318630539403,-10000
56,-6.89249039281765,10000
57,-6.092905731224264,10000
58,-7.321443217949567,10000
59,-7.751157739539086,10000
60,-7.481045977929843,10000
61,-5.125330280812843,10000
62,-1.8334149363745382,-10000
63,-7.408984383934942,10000
64,-7.580915056939804,10000
65,-6.7044801860847025,-10000
66,-8.383465037109149,10000
67,-7.427725492376925,10000
68,-5.907093578846637,10000
69,-7.83903901426522,-10000
70,-7.208692209749058,10000
71,-6.986579679384547,10000
72,-7.2985790870035085,-10000
73,-8.145085621402483,10000
74,-4.658169200617303,-10000
75,-3.733344611110624,-10000
76,-6.8049582028101385,-10000
77,-7.506531644009344,10000
78,-5.26034188825536,10000
79,-8.049131526912229,10000
80,-4.300109365313513,-10000
81,-7.63596343901743,-10000
82,-7.053878885585088,0
83,0.0,10000
84,-7.9071141850569155,10000
85,-8.330247478485154,10000
86,-5.52390206738052,10000
87,-6.417153474520854,-10000
88,-5.0906454179970835,-10000
89,-7.626260328815002,-10000
90,-6.855686763536376,-10000
91,-7.561450560534815,0
92,-3.9269052414257053,-10000
93,-6.114218040306493,10000
94,-5.555108992269156,10000
95,-7.0485797709578675,10000
96,-4.920555556458567,10000
97,-7.691011838895368,10000
98,-7.36782110866476,10000
99,-7.615375685963954,10000
100,-7.159655385821882,10000
101,-7.8881579023181,10000
102,-5.811516394048596,10000
103,-7.43611263010255,10000
104,-7.4028209264776335,10000
105,-7.7828587641208875,-10000
106,-7.299381719775901,-10000
107,-5.451892183208856,-10000
108,-5.084951156003349,-10000
109,-6.900330405235222,10000
