epoch,average_reward,final_reward
0,-9.216269469807393,-10000
1,-2.953067385263612,-10000
2,-18.16369736998475,-10000
3,2.9999068131738555,-10000
4,4.269920646322781,-10000
5,-8.735587546702622,-10000
6,-54.19653812442582,10000
7,-28.974111609043888,0
8,0.5320831843067867,-10000
9,-51.754287343382494,-10000
10,-15.564813695338493,10000
11,-2.092759863174531,0
12,-24.25085282080245,-10000
13,-22.287069913116145,-10000
14,2.968881199101296,-10000
15,-81.77172958858637,10000
16,3.3893009700255696,-10000
17,-16.202076721682705,-10000
18,-31.023925420057214,0
19,-0.17769227358687406,-10000
20,5.152296119063078,-10000
21,-21.6642406444245,0
22,-6.104651229888314,-10000
23,1.401063697721814,-10000
24,-38.567769955573155,-10000
25,-8.982393670171055,10000
26,-4.798732146976914,-10000
27,-3.3856747896983155,-10000
28,-7.498282286828684,-10000
29,-1.7914571451940942,-10000
30,-2.2120380522359224,-10000
31,0.9479283854451342,-10000
32,-100.0,-10000
33,1.7609874613584215,-10000
34,-4.154383352776717,-10000
35,0.1559995055233583,-10000
36,-27.53323981983012,-10000
37,2.670018096572702,-10000
38,-3.373808021960014,10000
39,-3.300788794453368,-10000
40,-38.71354100594368,-10000
41,-22.434022848151205,-10000
42,-1.8104506779362293,-10000
43,-4.212806903718316,-10000
44,-7.810990150597383,0
45,-13.175981518435242,-10000
46,-10.952356669890028,-10000
47,-18.44774964728949,-10000
48,-8.349171153358968,-10000
49,4.633687325810583,-10000
50,-47.915791150021015,-10000
51,-30.53644125425953,10000
52,-2.59501558433454,-10000
53,-65.87806568809167,-10000
54,-4.889630271061934,-10000
55,-36.48513863177378,-10000
56,-41.78075896265177,-10000
57,1.0849467130483657,-10000
58,-31.110352444612214,-10000
59,-7.095147075274612,-10000
60,-2.1976675451613867,-10000
61,-51.52793404100051,-10000
62,0.26552213698230026,-10000
63,-67.01348730560515,-10000
64,-0.8121103263011094,-10000
65,-1.5569772336294736,-10000
66,-6.554866932784195,-10000
67,-6.726717090652,-10000
68,-2.040945683662964,-10000
69,-44.26145939867406,-10000
70,-12.94744218222893,-10000
71,-24.851949470126602,10000
72,-29.764543743275546,-10000
73,4.897731294107264,-10000
74,-24.291511455030506,-10000
75,-13.423578260212492,10000
76,-25.41727421786495,-10000
77,-47.23562189918989,-10000
78,-20.901097439479877,-10000
79,3.4009848061585997,-10000
80,1.8218388185709251,-10000
81,-16.68376717374621,-10000
82,-50.25992687337042,-10000
83,-38.987392613851576,-10000
84,1.9067792557362093,-10000
85,-14.516058030594834,-10000
86,-9.532005310989373,-10000
87,-9.519253565743202,-10000
88,2.0754035124445065,-10000
89,-43.42868087537146,-10000
90,-3.0212004282311944,-10000
91,2.957694037213176,-10000
92,-2.197231572422965,-10000
93,1.2681506338445996,-10000
94,-8.985693886252921,-10000
95,-100.0,10000
96,-46.355556091476956,10000
97,-15.52720404674141,-10000
98,-11.539901662993953,10000
99,-15.891568573299082,10000
100,-2.0757878362454134,-10000
101,-7.8013269148312405,-10000
102,2.0089893045364056,-10000
103,-5.994914035054289,-10000
104,-47.87236518961589,-10000
105,-13.61967205794494,-10000
106,-23.01525842894543,-10000
107,-42.58348546471847,-10000
108,-9.274541144688115,0
109,-1.5747386414302889,-10000
110,2.696887086144942,-10000
111,-51.44274114518193,-10000
112,0.5399295921452927,-10000
113,3.1111421940600605,10000
114,-88.92897552322499,-10000
115,-10.915074412464241,10000
116,-29.76104670533876,10000
117,-17.562142087952378,-10000
118,-8.011509298235836,-10000
119,-16.472000565109873,-10000
120,-18.91583735645301,-10000
121,-7.668108446441425,-10000
122,-46.04504512458934,-10000
123,-7.874387602240167,-10000
124,-56.54449686886643,-10000
125,-11.575020931814615,-10000
126,-2.9158825584108095,-10000
127,-23.370615507642007,-10000
128,-21.7401475384926,-10000
129,4.24494457235846,-10000
130,-58.5083059349349,10000
131,-12.530287643533095,-10000
132,-3.5364288095869583,-10000
133,-7.920594406059926,-10000
134,0.12769858391790045,-10000
135,-5.06551946411059,-10000
136,-5.080998931102736,-10000
137,-10.386068098853583,-10000
138,-2.093813254513251,-10000
139,-8.09188772950683,-10000
140,-13.017447548668011,-10000
141,-46.77267644109626,-10000
142,-3.8252901650381372,-10000
143,1.342584820059662,-10000
144,-51.23882719135316,-10000
145,-22.30960181238288,-10000
146,-24.58209075447103,10000
147,-28.812018474065717,-10000
148,-11.534047459041341,0
149,-2.02454579296732,-10000
150,0.9871350371645998,-10000
151,-58.58408908137868,-10000
152,1.4959717875296172,-10000
153,-20.63428898901166,-10000
154,-24.449459403412533,-10000
155,-6.605822602792744,-10000
156,-49.75984583438527,-10000
157,-0.6177563259049625,-10000
158,-22.279146637639396,10000
159,-7.984279753107971,-10000
160,-20.00533852674125,-10000
161,-3.386494140590926,-10000
162,-9.705477517686782,-10000
163,-32.674252030157,-10000
164,-5.572134254254504,-10000
165,-11.591849997463312,-10000
166,-2.2754346401958867,-10000
167,-10.922553151150463,-10000
168,-0.22834246784441348,-10000
169,3.0366774697957815,-10000
170,-5.066985733306786,-10000
171,-3.9928948380660456,-10000
172,-10.99864099471808,0
173,-8.484447408366599,-10000
174,-16.907651368718568,-10000
175,-4.988215038906985,-10000
176,4.103270321024685,0
177,-6.531051396442297,-10000
178,-25.588026715032225,-10000
179,-27.753428677031952,10000
180,-22.051963049125128,0
181,-4.137132098989764,-10000
182,-50.265700209867646,-10000
183,4.3097920104604786,-10000
184,-15.396074495265616,-10000
185,-5.632887745503941,-10000
186,-4.9391421160663596,-10000
187,-8.735888740152355,-10000
188,1.650902632689492,0
189,1.0898223629339907,-10000
190,-29.378369907546528,-10000
191,-4.404129205642214,-10000
192,-6.460690907305339,-10000
193,-11.580326948732075,10000
194,-28.204677030408934,-10000
195,-15.219369124269436,-10000
196,-12.288556925944228,10000
197,-16.245362455048053,-10000
198,-32.379361837789006,-10000
199,-1.6851793855287764,-10000
200,-27.241265945653364,-10000
201,2.680507896211671,-10000
202,2.6766237121672347,-10000
203,-12.229722939251667,-10000
204,-71.17215944539674,-10000
205,-24.055067247736968,10000
206,-8.90153905984132,-10000
207,-20.854233642165863,10000
208,-25.152785186671448,10000
209,2.594091469568477,-10000
210,-9.273111244078496,-10000
211,2.081584839122198,-10000
212,-10.283701445511882,0
213,-0.8808346770638589,-10000
214,-12.61357192941727,10000
215,-13.022366754203883,-10000
216,-21.003980280962278,-10000
217,4.675815241839534,-10000
218,-23.929455806825686,-10000
219,-13.615145224372151,-10000
220,2.842926924212433,-10000
221,-38.24455950499075,-10000
222,-0.25540245614960755,-10000
223,-5.599096554599584,-10000
224,-6.153779262387295,-10000
225,-93.32686282028544,-10000
226,-46.36249188567971,-10000
227,-8.277183983764868,-10000
228,2.366050951080504,-10000
229,-10.576675490873454,-10000
230,4.516836326871432,-10000
231,-0.3280942771839096,-10000
232,-9.993664523238715,-10000
233,-17.379636011921917,-10000
234,-19.490143839181208,-10000
235,3.737896475301247,-10000
236,-0.22594657685059735,-10000
237,-20.52673330916442,-10000
238,-43.79075860304006,-10000
239,-0.5491913368856167,10000
